"# Weather station Nairobi (airport), Kenya, WMO_ID=63740,selection from 01.01.2016 till 31.12.2016, all days",,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Encoding: UTF-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The data is provided by the website ""Reliable Prognosis"", rp5.ru ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# If you use the data, please indicate the name of the website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=63740&lang=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local time in Nairobi (airport),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
31.12.2016 21:00,20.2,,,,68,Wind blowing from the east-northeast,8,,,70 – 80%., ,,,,27.5,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,600-1000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",30.0,14.0,,,,,,
31.12.2016 15:00,26.0,,,,40,Wind blowing from the north-east,9,,,40%., ,,,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,11.2,,,,,,
31.12.2016 09:00,18.8,,,,85,Wind blowing from the north-northeast,5,,,60%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,300-600,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",25.0,16.2,Trace of precipitation,24,,,,
30.12.2016 21:00,19.5,,,,79,Wind blowing from the east-northeast,4,,,40%., ,,,,26.9,Stratocumulus cumulogenitus.,40%.,600-1000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",20.0,15.8,,,,,,
30.12.2016 15:00,24.5,,,,56,Wind blowing from the east-northeast,7,,,70 – 80%., ,,,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",40%.,600-1000,Altocumulus translucidus at a single level.,Cirrus spissatus cumulonimbogenitus.,30.0,15.1,,,,,,
30.12.2016 09:00,18.6,,,,90,Wind blowing from the east-northeast,1,,,"90  or more, but not 100%", ,,,16.7,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",60%.,300-600,Altocumulus translucidus at a single level.,,30.0,16.9,1,24,,,,
30.12.2016 03:00,17.4,,,,79,Wind blowing from the north-east,5,,,"10%  or less, but not 0", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,13.6,,,,,,
29.12.2016 21:00,21.8,,,,65,Wind blowing from the east-northeast,5,,,"90  or more, but not 100%", ,,,,27.4,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",600-1000,,,30.0,14.8,,,,,,
29.12.2016 15:00,27.2,,,,44,Wind blowing from the east,5,,,70 – 80%., ,,,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.","10%  or less, but not 0",600-1000,Altostratus opacus or Nimbostratus.,,30.0,14.0,,,,,,
29.12.2016 09:00,19.8,,,,76,Wind blowing from the north,3,,,"90  or more, but not 100%", ,,,15.4,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,300-600,Altocumulus translucidus at a single level.,,30.0,15.4,,,,,,
29.12.2016 03:00,16.7,,,,83,Wind blowing from the north,3,,,"10%  or less, but not 0", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,13.7,,,,,,
28.12.2016 15:00,27.2,,,,36,Wind blowing from the east-northeast,5,,,"10%  or less, but not 0", ,,,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,10.7,,,,,,
28.12.2016 09:00,20.8,,,,62,Wind blowing from the north-east,5,,,"10%  or less, but not 0", ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,13.2,,,,,,
28.12.2016 03:00,14.8,,,,81,Wind blowing from the north,2,,,40%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",20.0,11.6,,,,,,
